Year,Month,State,Primary Mode,Etiology,Serotype or Genotype,Etiology Status,Setting,Illnesses,Hospitalizations,Info On Hospitalizations,Deaths,Info On Deaths,Food Vehicle,Food Contaminated Ingredient,IFSAC Category,Water Exposure,Water Type,Animal Type
2022,1,Ohio,Water,Legionella pneumophila,,Confirmed,Long-term care/nursing home/assisted living facility,2,2,2,0,2,,,,Drinking water,Unknown,
2022,1,South Carolina,Water,Legionella unknown,,Confirmed,Unknown,18,16,18,0,18,,,,Undetermined water,,
2022,1,Ohio,Water,Legionella pneumophila,serogroup 1,Confirmed,Hospital,2,2,2,2,2,,,,Other/Environmental water,Community,
2022,1,Ohio,Water,Legionella pneumophila; Legionella pneumophila,serogroup 1,Confirmed; Suspected,Hospital,2,2,2,0,2,,,,Drinking water,Community,
2022,2,Florida,Water,Legionella pneumophila,serogroup 1,Confirmed,Hospital;Residence - Single-family home,2,2,2,,0,,,,Drinking water,Non-Transient Non-Community,
2022,3,Florida,Water,Legionella pneumophila,serogroup 1,Confirmed,Residence - Multi-unit housing,2,1,1,0,1,,,,Recreational water -- treated,Hot Tub/Spa/Whirlpool,
2022,3,Ohio,Water,Legionella pneumophila,serogroup 1,Confirmed,Hospital,2,2,2,1,2,,,,Drinking water,Unknown,
2022,3,Florida,Water,Legionella pneumophila,serogroup 1,Confirmed,,2,1,2,0,2,,,,,,
2022,3,Missouri,Water,Legionella pneumophila; Legionella pneumophila,serogroup 1; serogroup 1,Confirmed; Confirmed,Long-term care/nursing home/assisted living facility,2,2,2,0,2,,,,Drinking water,Community,
2022,3,Florida,Water,Legionella pneumophila,serogroup 1,Confirmed,Fee-based facility/membership club,2,2,2,0,2,,,,Recreational water -- treated,Hot Tub/Spa/Whirlpool,
2022,3,Florida,Water,Legionella pneumophila,serogroup 1,Confirmed,Apartment/Condo,3,3,3,0,0,,,,Recreational water -- treated,Hot Tub/Spa/Whirlpool,
2022,4,Florida,Water,Legionella pneumophila,serogroup 1,Confirmed,Apartment/Condo,2,2,2,1,2,,,,Drinking water,Community,
2022,4,District of Columbia,Water,Legionella pneumophila; Legionella pneumophila,serogroup 1; unknown,Confirmed; Confirmed,Residence - Multi-unit housing,2,2,2,0,2,,,,Recreational water -- treated,Hot Tub/Spa/Whirlpool,
2022,4,Ohio,Water,Legionella pneumophila,unknown,Confirmed,Private home/residence,2,2,2,0,2,,,,Recreational water -- treated,Hot Tub/Spa/Whirlpool,
2022,4,Ohio,Water,Legionella pneumophila,,Confirmed,Long-term care/nursing home/assisted living facility,3,3,3,0,2,,,,Drinking water,Unknown,
2022,4,New York,Water,Legionella pneumophila,serogroup 1,Confirmed,Long-term care/nursing home/assisted living facility,9,9,9,5,9,,,,Undetermined water,,
2022,4,Florida,Water,Legionella pneumophila,serogroup 1,Confirmed,Long-term care/nursing home/assisted living facility,3,3,3,1,3,,,,Drinking water,Unknown;Community,
2022,4,Florida,Water,Legionella pneumophila,serogroup 1,Confirmed,,4,4,4,1,4,,,,,,
2022,4,South Carolina,Water,Legionella pneumophila,serogroup 1,Confirmed,Community/municipality,3,2,3,0,3,,,,Recreational water -- treated,Hot Tub/Spa/Whirlpool,
2022,5,Pennsylvania,Water,Legionella anisa; Legionella pneumophila,serogroup 1,Suspected; Confirmed,Hospital,2,2,2,1,2,,,,Undetermined water,,
2022,5,Florida,Water,Legionella pneumophila,serogroup 1,Confirmed,Resort,2,,0,0,2,,,,Drinking water,Transient Noncommunity,
2022,5,South Carolina,Water,Legionella pneumophila; Legionella pneumophila,serogroup 1; serogroup 2-14,Confirmed; Suspected,Factory/industrial facility,34,15,34,2,34,,,,Other/Environmental water,,
2022,5,South Carolina,Water,Legionella unknown,,Suspected,Long-term care/nursing home/assisted living facility,5,2,5,0,5,,,,Drinking water,Individual/Private,
2022,5,Ohio,Water,Legionella pneumophila,serogroup 1,Confirmed,Outdoor Place of Work,2,2,2,0,2,,,,Other/Environmental water,,
2022,5,North Carolina,Water,Legionella pneumophila,serogroup 1,Confirmed,Hotel/motel,4,2,3,0,3,,,,Recreational water -- treated,Hot Tub/Spa/Whirlpool,
2022,5,Ohio,Water,Legionella pneumophila,serogroup 1,Confirmed,Factory/industrial facility,2,2,2,0,2,,,,Other/Environmental water,,
2022,5,Michigan,Water,Legionella pneumophila,serogroup 1,Confirmed,Hospital,3,3,3,0,0,,,,Undetermined water,,
2022,5,Florida,Water,Legionella pneumophila,serogroup 1,Confirmed,Hotel/motel,3,3,3,0,3,,,,Drinking water,Community,
2022,5,New Hampshire,Water,Legionella pneumophila,serogroup 1,Confirmed,Other,2,2,2,0,2,,,,Drinking water,Transient Noncommunity,
2022,5,Florida,Water,Legionella pneumophila,serogroup 1,Confirmed,Hotel/motel,3,0,0,0,1,,,,Recreational water -- treated,Hot Tub/Spa/Whirlpool;Community,
2022,5,Ohio,Water,Legionella pneumophila,,Confirmed,Hotel/motel,2,2,2,0,2,,,,Recreational water -- treated,Hot Tub/Spa/Whirlpool;Unknown,
2022,6,Illinois,Water,Legionella pneumophila,serogroup 1,Confirmed,Religious facility,5,5,5,0,0,,,,Other/Environmental water,,
2022,6,Kansas,Water,Legionella pneumophila,serogroup 1,Confirmed,Factory/industrial facility,2,2,2,0,2,,,,Undetermined water,,
2022,6,Wisconsin,Water,Legionella pneumophila,,Confirmed,Long-term care/nursing home/assisted living facility,4,4,4,2,4,,,,Drinking water,Community,
2022,6,Oregon,Water,Legionella unknown,,Confirmed,Hospital,2,2,2,0,2,,,,Drinking water,Community,
2022,6,Michigan,Water,Legionella pneumophila,serogroup 1,Confirmed,Hotel/motel,2,2,2,0,2,,,,Recreational water -- treated,Hot Tub/Spa/Whirlpool,
2022,7,Ohio,Water,Legionella pneumophila,,Confirmed,Hospital;Long-term care/nursing home/assisted living facility,3,2,3,0,3,,,,Other/Environmental water,Community;Unknown,
2022,7,Florida,Water,Legionella pneumophila,unknown,Confirmed,Hotel/motel,2,,,0,2,,,,Recreational water -- treated,Hot Tub/Spa/Whirlpool;Other,
2022,7,Louisiana,Water,Legionella pneumophila,serogroup 1,Confirmed,Hotel/motel,2,2,2,0,2,,,,Recreational water -- treated,Hot Tub/Spa/Whirlpool,
2022,7,Florida,Water,Legionella pneumophila,serogroup 1,Confirmed,Hotel/motel,2,1,1,0,2,,,,Recreational water -- treated,Hot Tub/Spa/Whirlpool,
2022,7,Florida,Water,Legionella pneumophila,serogroup 1,Confirmed,Hotel/motel,2,2,2,0,2,,,,Drinking water,Community,
2022,7,Wisconsin,Water,Legionella pneumophila,serogroup 1,Confirmed,Hotel/motel,4,3,4,0,4,,,,Recreational water -- treated,Hot Tub/Spa/Whirlpool,
2022,7,Alabama,Water,Legionella pneumophila,serogroup 1,Confirmed,Other healthcare facility,2,2,2,0,2,,,,Undetermined water,,
2022,8,Texas,Water,Legionella unknown,,Confirmed,Hotel/motel,3,2,2,0,3,,,,Other/Environmental water,,
2022,8,Michigan,Water,Legionella pneumophila,serogroup 1,Confirmed,Residence - Single-family home,2,0,2,0,2,,,,Recreational water -- treated,Hot Tub/Spa/Whirlpool,
2022,8,Florida,Water,Legionella pneumophila,serogroup 1,Confirmed,Hotel/motel,2,2,2,0,2,,,,Drinking water,Hot Tub/Spa/Whirlpool;Other;Community,
2022,9,Florida,Water,Legionella pneumophila,serogroup 1,Confirmed,Subdivision/Neighborhood,2,2,2,0,2,,,,Recreational water -- treated,Hot Tub/Spa/Whirlpool,
2022,9,Florida,Water,Legionella pneumophila,serogroup 1,Confirmed,Correctional/detention facility,3,3,3,0,3,,,,Drinking water,Individual/Private,
2022,10,North Carolina,Water,Legionella pneumophila,serogroup 1,Confirmed,Factory/industrial facility,2,2,2,0,2,,,,Undetermined water,,
2022,10,Florida,Water,Legionella unknown,,Confirmed,Residence - Multi-unit housing,2,1,1,,,,,,Recreational water -- treated,Hot Tub/Spa/Whirlpool,
2022,11,Wisconsin,Water,Legionella pneumophila,serogroup 1,Confirmed,Hotel/motel,2,2,2,0,2,,,,Drinking water,Community,
2022,11,South Carolina,Water,Legionella pneumophila,serogroup 1,Confirmed,Factory/industrial facility,4,2,4,0,4,,,,Other/Environmental water,,
2022,12,Wisconsin,Water,Legionella pneumophila,serogroup 1,Confirmed,Long-term care/nursing home/assisted living facility,6,5,6,0,6,,,,Other/Environmental water,,
2022,12,Florida,Water,Legionella pneumophila,unknown,Confirmed,Fee-based facility/membership club,2,2,2,0,2,,,,Recreational water -- treated,Hot Tub/Spa/Whirlpool,
2021,1,New York,Water,Legionella pneumophila,serogroup 1,Confirmed,Long-term care/nursing home/assisted living facility,2,0,0,0,2,,,,Undetermined water,Community,
2021,2,Ohio,Water,Legionella pneumophila,,Confirmed,Hospital,3,3,3,0,3,,,,Drinking water,Unknown,
2021,2,Wisconsin,Water,Legionella pneumophila,serogroup 1,Confirmed,Hotel/motel,2,2,2,0,2,,,,Drinking water,Community,
2021,3,Indiana,Water,Legionella,,Confirmed,Fee-based facility/membership club,6,5,5,0,0,,,,Recreational water -- treated,Pool - Other Swimming Pool,
2021,3,Florida,Water,Legionella pneumophila,,Confirmed,Subdivision/Neighborhood,2,1,1,0,2,,,,Recreational water -- treated,Hot Tub/Spa/Whirlpool,
2021,3,Michigan,Water,Legionella pneumophila,serogroup 1,Confirmed,Hospital,2,2,2,2,2,,,,Undetermined water,,
2021,3,Florida,Water,Legionella pneumophila,serogroup 1,Confirmed,Hospital,2,2,2,2,2,,,,Drinking water,Community,
2021,4,Montana,Water,Legionella pneumophila,serogroup 1,Confirmed,Hotel/motel,10,0,10,0,10,,,,Recreational water -- treated,Hot Tub/Spa/Whirlpool,
