"TimePeriod","GeoTypeDesc","GeoID","GeoRank","Geography","Number","Percent"
"2017-21","Neighborhood Tabulation Area","50101","9","Mott Haven-Port Morris","23,752","43.7"
"2017-21","Neighborhood Tabulation Area","50102","9","Melrose","17,284","40.7"
"2017-21","Neighborhood Tabulation Area","50201","9","Hunts Point","4,696","34.3"
"2017-21","Neighborhood Tabulation Area","50202","9","Longwood","12,751","32.0"
"2017-21","Neighborhood Tabulation Area","50301","9","Morrisania","12,615","35.7"
"2017-21","Neighborhood Tabulation Area","50302","9","Claremont Village-Claremont (East)","10,386","43.2"
"2017-21","Neighborhood Tabulation Area","50303","9","Crotona Park East","8,519","29.4"
"2017-21","Neighborhood Tabulation Area","50401","9","Concourse-Concourse Village","21,730","31.9"
"2017-21","Neighborhood Tabulation Area","50402","9","Highbridge","11,128","33.9"
"2017-21","Neighborhood Tabulation Area","50403","9","Mount Eden-Claremont (West)","16,703","31.8"
"2017-21","Neighborhood Tabulation Area","50501","9","University Heights (South)-Morris Heights","18,886","34.4"
"2017-21","Neighborhood Tabulation Area","50502","9","Mount Hope","14,696","30.2"
"2017-21","Neighborhood Tabulation Area","50503","9","Fordham Heights","11,171","33.2"
"2017-21","Neighborhood Tabulation Area","50601","9","West Farms","8,295","44.8"
"2017-21","Neighborhood Tabulation Area","50602","9","Tremont","11,476","36.3"
"2017-21","Neighborhood Tabulation Area","50603","9","Belmont","12,919","39.6"
"2017-21","Neighborhood Tabulation Area","50701","9","University Heights (North)-Fordham","11,856","25.8"
"2017-21","Neighborhood Tabulation Area","50702","9","Bedford Park","14,100","24.8"
"2017-21","Neighborhood Tabulation Area","50703","9","Norwood","11,923","29.3"
"2017-21","Neighborhood Tabulation Area","50801","9","Kingsbridge Heights-Van Cortlandt Village","8,852","25.1"
"2017-21","Neighborhood Tabulation Area","50802","9","Kingsbridge-Marble Hill","6,977","26.6"
"2017-21","Neighborhood Tabulation Area","50803","9","Riverdale-Spuyten Duyvil","2,923","6.8"
"2017-21","Neighborhood Tabulation Area","50901","9","Soundview-Bruckner-Bronx River","20,516","30.1"
"2017-21","Neighborhood Tabulation Area","50902","9","Soundview-Clason Point","8,756","24.4"
"2017-21","Neighborhood Tabulation Area","50903","9","Castle Hill-Unionport","8,413","21.6"
"2017-21","Neighborhood Tabulation Area","50904","9","Parkchester","6,446","21.0"
