id,selected,inside_boundary,meets threshold,latitude (deg),longitude (deg),distance from center (m),address,confidence
0,false,true,true,40.70225033,-73.97970255,7675.3,"1 1st Ave, Brooklyn, NY 11251, United States",0.59
1,true,true,true,40.69167034,-73.98876925,7330.5,"1 Boerum Pl, Brooklyn, NY 11201, USA",0.64
2,true,true,true,40.69169193,-73.98875626,7331.3,"1 Boerum Pl, Brooklyn, NY 11201, USA",0.62
3,true,true,true,40.65529033,-73.91253166,1304.8,"1 Brookdale Plaza, Brooklyn, NY 11212, USA",0.89
4,true,true,true,40.65539970,-73.91261236,1307.6,"1 Brookdale Plaza, Brooklyn, NY 11212, USA",0.86
5,true,true,true,40.65533945,-73.91258262,1305.1,"1 Brookdale Plaza, Brooklyn, NY 11212, USA",0.86
6,true,true,true,40.65531487,-73.91255861,1304.8,"1 Brookdale Plaza, Brooklyn, NY 11212, USA",0.83
7,true,true,true,40.69848333,-73.96727362,6727.4,"1 Brooklyn Navy Yard, Brooklyn, NY 11205, USA",0.83
8,true,true,true,40.69342235,-74.00000952,8181.1,"1 Brooklyn-Queens Expy, Brooklyn, NY 11201, USA",0.84
9,true,true,true,40.69595498,-73.99133408,7813.2,"1 Clinton St, Brooklyn, NY 11201, United States",0.77
10,true,true,true,40.69592744,-73.99132860,7810.7,"1 Clinton St, Brooklyn, NY 11201, United States",0.76
11,true,true,true,40.69593931,-73.99133008,7811.7,"1 Clinton St, Brooklyn, NY 11201, United States",0.61
12,true,true,true,40.70067717,-73.97226464,7164.0,"1 Dock 72 Wy, Brooklyn, NY 11249, USA",0.87
13,true,true,true,40.70069897,-73.97222458,7164.1,"1 Dock 72 Wy, Brooklyn, NY 11249, USA",0.87
14,true,true,true,40.70070714,-73.97222457,7164.9,"1 Dock 72 Wy, Brooklyn, NY 11249, USA",0.86
15,true,true,true,40.70065318,-73.97230265,7163.6,"1 Dock 72 Wy, Brooklyn, NY 11249, USA",0.84
16,true,true,true,40.70069416,-73.97227080,7165.9,"1 Dock 72 Wy, Brooklyn, NY 11249, USA",0.48
17,true,true,true,40.70351653,-73.99016775,8348.7,"1 Main St, Brooklyn, NY 11201, United States",0.84
18,true,true,true,40.70346228,-73.99017298,8344.5,"1 Main St, Brooklyn, NY 11201, United States",0.83
19,true,true,true,40.69340502,-73.98682331,7341.8,"1 MetroTech Center, Brooklyn, NY 11201, USA",0.81
20,true,true,true,40.69336944,-73.98682520,7339.2,"1 MetroTech Center, Brooklyn, NY 11201, USA",0.77
21,true,true,true,40.69338869,-73.98661105,7327.7,"1 MetroTech Center, Brooklyn, NY 11201, USA",0.75
22,true,true,true,40.69336162,-73.98661271,7325.7,"1 MetroTech Center, Brooklyn, NY 11201, USA",0.69
23,true,true,true,40.69342613,-73.98682060,7343.3,"1 MetroTech Center, Brooklyn, NY 11201, USA",0.33
24,true,true,true,40.71926371,-73.96392853,8650.1,"1 Northside Piers, Brooklyn, NY 11249, United States",0.79
25,true,true,true,40.71928207,-73.96390777,8651.3,"1 Northside Piers, Brooklyn, NY 11249, United States",0.72
26,true,true,true,40.67982881,-73.89555908,4325.1,"1 Vermont St, Brooklyn, NY 11207, USA",0.51
27,true,true,true,40.69127546,-73.98261018,6921.7,"10 City Pt, Brooklyn, NY 11201, USA",0.80
28,true,true,true,40.69125358,-73.98256644,6917.3,"10 City Pt, Brooklyn, NY 11201, USA",0.79
29,true,true,true,40.67245605,-73.96840047,4642.7,"10 Grand Army Plz, Brooklyn, NY 11238, USA",0.78
30,true,true,true,40.67244091,-73.96841557,4642.8,"10 Grand Army Plz, Brooklyn, NY 11238, USA",0.77
31,true,true,true,40.67238326,-73.96836836,4635.7,"10 Grand Army Plz, Brooklyn, NY 11238, USA",0.72
32,true,true,true,40.67240107,-73.96835864,4636.3,"10 Grand Army Plz, Brooklyn, NY 11238, USA",0.67
33,true,true,true,40.70833522,-73.94616673,7007.1,"100 Scholes St, Brooklyn, NY 11206, USA",0.50
34,true,true,true,40.68302083,-73.98185646,6261.3,"101 3rd Ave, Brooklyn, NY 11217, USA",0.29
35,true,true,true,40.69525781,-73.98637277,7459.6,"101 Johnson St, Brooklyn, NY 11201, USA",0.75
36,true,true,true,40.69525965,-73.98643764,7463.6,"101 Johnson St, Brooklyn, NY 11201, USA",0.73
37,true,true,true,40.69525923,-73.98641589,7462.3,"101 Johnson St, Brooklyn, NY 11201, USA",0.57
38,true,true,true,40.69525862,-73.98639495,7461.0,"101 Johnson St, Brooklyn, NY 11201, USA",0.48
39,true,true,true,40.63851315,-73.99851271,6356.5,"1026 49th St, Brooklyn, NY 11219, USA",0.85
40,true,true,true,40.63853705,-73.99848785,6354.0,"1026 49th St, Brooklyn, NY 11219, USA",0.84
41,true,true,true,40.63848577,-73.99853710,6359.0,"1026 49th St, Brooklyn, NY 11219, USA",0.84
42,true,true,true,40.69993763,-73.97401722,7181.9,"103 Brooklyn Navy Yard, Brooklyn, NY 11249, USA",0.48
43,true,true,true,40.69034573,-73.98852594,7217.3,"103 Livingston St, Brooklyn, NY 11201, USA",0.31
44,true,true,true,40.68709904,-73.92057548,4404.5,"1032 Putnam Ave, Brooklyn, NY 11221, USA",0.79
45,true,true,true,40.70106460,-73.98754321,7997.6,"104 York St, Brooklyn, NY 11201, USA",0.84
46,true,true,true,40.70103832,-73.98754426,7995.5,"104 York St, Brooklyn, NY 11201, USA",0.81
47,true,true,true,40.66907432,-73.87910360,4496.4,"1046 Blake Ave, Brooklyn, NY 11208, USA",0.35
48,true,true,true,40.65914044,-73.92376987,1282.0,"1049 Clarkson Ave, Brooklyn, NY 11212, USA",0.29
49,true,true,true,40.68074729,-73.98038832,6007.0,"107 4th Ave, Brooklyn, NY 11217, USA",0.60
50,true,true,true,40.69354415,-73.98660212,7339.2,"107 Lawrence St, Brooklyn, NY 11201, USA",0.79
51,true,true,true,40.69351685,-73.98660282,7337.1,"107 Lawrence St, Brooklyn, NY 11201, USA",0.79
52,true,true,true,40.66145733,-73.95045237,2697.4,"1081 Nostrand Ave, Brooklyn, NY 11225, USA",0.73
53,true,true,true,40.65878446,-74.00462535,6902.9,"109 31st St, Brooklyn, NY 11232, USA",0.33
54,false,true,true,40.66506800,-73.92549838,1944.2,"1096 E New York Ave, Brooklyn, NY 11212, USA",0.26
55,true,true,true,40.68993286,-73.98499892,6964.9,"11 Hoyt St, Brooklyn, NY 11201, USA",0.81
56,true,true,true,40.68990022,-73.98501916,6963.7,"11 Hoyt St, Brooklyn, NY 11201, USA",0.81
57,true,true,true,40.68990022,-73.98504601,6965.3,"11 Hoyt St, Brooklyn, NY 11201, USA",0.40
58,true,true,true,40.70636624,-73.95074639,6911.3,"11 Montrose Ave, Brooklyn, NY 11211, USA",0.48
59,true,true,true,40.65925505,-74.00378595,6842.9,"110 30th St, Brooklyn, NY 11232, USA",0.84
60,true,true,true,40.65927392,-74.00382425,6846.4,"110 30th St, Brooklyn, NY 11232, USA",0.81
61,true,true,true,40.69091731,-73.99225333,7497.6,"110 City Pt, Brooklyn, NY 11201, USA",0.82
62,true,true,true,40.69088404,-73.99227025,7496.4,"110 City Pt, Brooklyn, NY 11201, USA",0.81
63,true,true,true,40.70197897,-73.99483191,8493.6,"110 Columbia Heights, Brooklyn, NY 11201, USA",0.81
64,true,true,true,40.70194609,-73.99485037,8492.1,"110 Columbia Heights, Brooklyn, NY 11201, USA",0.80
65,true,true,true,40.70189760,-73.99487329,8489.6,"110 Columbia Heights, Brooklyn, NY 11201, USA",0.77
66,true,true,true,40.70186569,-73.99488768,8487.9,"110 Columbia Heights, Brooklyn, NY 11201, USA",0.73
67,true,true,true,40.70194965,-73.99484880,8492.3,"110 Columbia Heights, Brooklyn, NY 11201, USA",0.73
68,true,true,true,40.70189761,-73.99487256,8489.6,"110 Columbia Heights, Brooklyn, NY 11201, USA",0.71
69,true,true,true,40.70198006,-73.99483764,8494.0,"110 Columbia Heights, Brooklyn, NY 11201, USA",0.70
70,true,true,true,40.70186610,-73.99488160,8487.6,"110 Columbia Heights, Brooklyn, NY 11201, USA",0.63
71,true,true,true,40.70190448,-73.99487195,8490.1,"110 Columbia Heights, Brooklyn, NY 11201, USA",0.53
72,true,true,true,40.70187343,-73.99488079,8488.1,"110 Columbia Heights, Brooklyn, NY 11201, USA",0.45
73,true,true,true,40.70187902,-73.99488188,8488.6,"110 Columbia Heights, Brooklyn, NY 11201, USA",0.44
74,true,true,true,40.69161708,-73.98994452,7400.7,"111 Livingston St, Brooklyn, NY 11201, USA",0.77
75,true,true,true,40.69161739,-73.98994595,7400.8,"111 Livingston St, Brooklyn, NY 11201, USA",0.74
76,true,true,true,40.69174029,-73.98993572,7409.2,"111 Livingston St, Brooklyn, NY 11201, USA",0.73
77,true,true,true,40.69167572,-73.98996619,7406.3,"111 Livingston St, Brooklyn, NY 11201, USA",0.71
78,true,true,true,40.69162776,-73.98998533,7404.0,"111 Livingston St, Brooklyn, NY 11201, USA",0.71
79,true,true,true,40.69167577,-73.98996520,7406.3,"111 Livingston St, Brooklyn, NY 11201, USA",0.69
80,true,true,true,40.69162880,-73.98998253,7403.9,"111 Livingston St, Brooklyn, NY 11201, USA",0.67
81,true,true,true,40.69172430,-73.98994313,7408.5,"111 Livingston St, Brooklyn, NY 11201, USA",0.67
82,true,true,true,40.69172903,-73.98989489,7405.8,"111 Livingston St, Brooklyn, NY 11201, USA",0.65
83,true,true,true,40.69171495,-73.98990043,7405.1,"111 Livingston St, Brooklyn, NY 11201, USA",0.65
84,true,true,true,40.69163320,-73.98994304,7401.7,"111 Livingston St, Brooklyn, NY 11201, USA",0.65
85,true,true,true,40.69166624,-73.98992262,7402.9,"111 Livingston St, Brooklyn, NY 11201, USA",0.64
86,true,true,true,40.69174101,-73.98994172,7409.6,"111 Livingston St, Brooklyn, NY 11201, USA",0.64
87,true,true,true,40.69172599,-73.98994468,7408.7,"111 Livingston St, Brooklyn, NY 11201, USA",0.63
88,true,true,true,40.69167837,-73.98991661,7403.4,"111 Livingston St, Brooklyn, NY 11201, USA",0.62
89,true,true,true,40.69164521,-73.98998007,7405.0,"111 Livingston St, Brooklyn, NY 11201, USA",0.62
90,true,true,true,40.69169349,-73.98995730,7407.1,"111 Livingston St, Brooklyn, NY 11201, USA",0.61
91,true,true,true,40.69163114,-73.98993892,7401.3,"111 Livingston St, Brooklyn, NY 11201, USA",0.61
92,true,true,true,40.69171239,-73.98994746,7407.9,"111 Livingston St, Brooklyn, NY 11201, USA",0.59
93,true,true,true,40.69164802,-73.98993990,7402.6,"111 Livingston St, Brooklyn, NY 11201, USA",0.57
94,true,true,true,40.69164609,-73.98997896,7405.0,"111 Livingston St, Brooklyn, NY 11201, USA",0.56
95,true,true,true,40.69169829,-73.98995204,7407.1,"111 Livingston St, Brooklyn, NY 11201, USA",0.54
96,true,true,true,40.69171042,-73.98994838,7407.8,"111 Livingston St, Brooklyn, NY 11201, USA",0.53
97,true,true,true,40.69169612,-73.98990843,7404.2,"111 Livingston St, Brooklyn, NY 11201, USA",0.52
98,true,true,true,40.69166166,-73.98997299,7405.7,"111 Livingston St, Brooklyn, NY 11201, USA",0.51
99,true,true,true,40.69166106,-73.98997306,7405.7,"111 Livingston St, Brooklyn, NY 11201, USA",0.49
100,true,true,true,40.69164764,-73.98993072,7402.0,"111 Livingston St, Brooklyn, NY 11201, USA",0.48
101,true,true,true,40.69165909,-73.98993594,7403.2,"111 Livingston St, Brooklyn, NY 11201, USA",0.44
102,true,true,true,40.69167076,-73.98993186,7403.8,"111 Livingston St, Brooklyn, NY 11201, USA",0.33
103,true,true,true,40.69410661,-73.96279306,6113.4,"111 Steuben St, Brooklyn, NY 11205, United States",0.78
104,true,true,true,40.69573214,-73.98478649,7404.1,"112 Tillary St, Brooklyn, NY 11201, USA",0.33
105,true,true,true,40.62286365,-73.95244263,3644.6,"1123 E 23rd St, Brooklyn, NY 11210, USA",0.33
106,true,true,true,40.62286302,-73.95246092,3645.7,"1123 E 23rd St, Brooklyn, NY 11210, USA",0.30
107,true,true,true,40.69827632,-73.98662489,7716.5,"116 Nassau St, Brooklyn, NY 11201, USA",0.71
108,true,true,true,40.65522811,-73.86468080,5099.4,"11625 Seaview Ave, Brooklyn, NY 11239, USA",0.82
109,true,true,true,40.65530162,-73.86473563,5096.2,"11625 Seaview Ave, Brooklyn, NY 11239, USA",0.82
110,true,true,true,40.65531436,-73.86470598,5098.9,"11625 Seaview Ave, Brooklyn, NY 11239, USA",0.78
111,true,true,true,40.65528678,-73.86476845,5093.2,"11625 Seaview Ave, Brooklyn, NY 11239, USA",0.77
112,true,true,true,40.65520769,-73.86470976,5096.6,"11625 Seaview Ave, Brooklyn, NY 11239, USA",0.42
113,true,true,true,40.67763376,-73.99091904,6547.9,"117 2nd St, Brooklyn, NY 11231, USA",0.75
114,true,true,true,40.67761860,-73.99088923,6544.9,"117 2nd St, Brooklyn, NY 11231, USA",0.72
115,true,true,true,40.67760442,-73.99085634,6541.7,"117 2nd St, Brooklyn, NY 11231, USA",0.67
116,true,true,true,40.70047285,-73.98795765,7972.4,"117 Adams St, Brooklyn, NY 11201, USA",0.79
117,true,true,true,40.70047237,-73.98792901,7970.7,"117 Adams St, Brooklyn, NY 11201, USA",0.79
118,true,true,true,40.69112561,-73.97763928,6617.1,"117 Dekalb Ave, Brooklyn, NY 11201, USA",0.85
119,true,true,true,40.69116049,-73.97764394,6620.2,"117 Dekalb Ave, Brooklyn, NY 11201, USA",0.82
120,true,true,true,40.69101332,-73.97762244,6607.0,"117 Dekalb Ave, Brooklyn, NY 11201, USA",0.78
121,true,true,true,40.70277875,-73.98887431,8214.8,"117 Front St, Brooklyn, NY 11201, USA",0.84
122,true,true,true,40.68053179,-74.00982373,8103.2,"117 Imlay St, Brooklyn, NY 11231, USA",0.36
123,true,true,true,40.66308582,-74.00033605,6654.1,"117-119 25th St, Brooklyn, NY 11232, USA",0.36
124,true,true,true,40.66305772,-74.00036921,6656.0,"117-119 25th St, Brooklyn, NY 11232, USA",0.29
125,true,true,true,40.68827835,-73.90731939,4744.8,"1170 Decatur St, Brooklyn, NY 11207, USA",0.38
126,true,true,true,40.67853948,-73.86560564,6028.3,"1178 Liberty Ave, Brooklyn, NY 11208, USA",0.61
127,true,true,true,40.67853481,-73.86565049,6024.9,"1178 Liberty Ave, Brooklyn, NY 11208, USA",0.44
128,true,true,true,40.67853753,-73.86562867,6026.6,"1178 Liberty Ave, Brooklyn, NY 11208, USA",0.32
129,true,true,true,40.62014410,-73.97067145,4975.7,"1180 Ocean Pkwy, Brooklyn, NY 11230, USA",0.28
130,true,true,true,40.68061842,-74.00994450,8116.6,"119 Imlay St, Brooklyn, NY 11231, USA",0.27
131,true,true,true,40.67285905,-73.87342792,5127.1,"1199-1221 Sutter Ave, Brooklyn, NY 11208, USA",0.29
132,true,true,true,40.68475723,-73.97851208,6172.1,"12 4th Ave, Brooklyn, NY 11217, USA",0.49
133,true,true,true,40.69344102,-73.99859176,8089.1,"12 Columbia Pl, Brooklyn, NY 11201, USA",0.38
134,true,true,true,40.68827445,-73.98096902,6590.1,"12 Nevins St, Brooklyn, NY 11201, USA",0.53
135,true,true,true,40.68830166,-73.98095336,6591.2,"12 Nevins St, Brooklyn, NY 11201, USA",0.36
136,true,true,true,40.58303806,-73.93617194,7260.8,"12 Walton St, Brooklyn, NY 11235, USA",0.40
137,true,true,true,40.69304463,-73.98383384,7133.8,"120 Myrtle Ave, Brooklyn, NY 11201, USA",0.85
138,true,true,true,40.69301136,-73.98383539,7131.2,"120 Myrtle Ave, Brooklyn, NY 11201, USA",0.85
139,true,true,true,40.69309460,-73.98383175,7137.6,"120 Myrtle Ave, Brooklyn, NY 11201, USA",0.85
140,true,true,true,40.69313010,-73.98383055,7140.3,"120 Myrtle Ave, Brooklyn, NY 11201, USA",0.84
141,true,true,true,40.69826915,-73.98642313,7704.3,"120 Nassau St, Brooklyn, NY 11201, USA",0.82
142,true,true,true,40.69826751,-73.98636173,7700.6,"120 Nassau St, Brooklyn, NY 11201, USA",0.81
143,true,true,true,40.68576098,-73.97553514,6065.5,"120 S Elliott Pl, Brooklyn, NY 11217-1509, United States",0.86
