NTA code,Boro name,Total pop,65+ pop,65+ %pop,65+ poverty %pop,% Hispanic,% White,%Black,% Asian,% Other,NTA name,rate,Towers
BX01,Bronx,35560,2692,7.6,42.1,60.6,1.0,37.3,0.1,1.0,Claremont-Bathgate,10.85,
BX03,Bronx,37887,4939,13.0,11.7,24.6,3.1,66.0,4.2,2.2,Eastchester-Edenwald-Baychester,6.45,
BX05,Bronx,57685,4993,8.7,30.0,75.0,4.2,15.6,3.8,1.5,Bedford Park-Fordham North,11.0,
BX06,Bronx,29115,2197,7.5,28.9,61.0,18.2,16.3,2.1,2.4,Belmont,10.49,
BX07,Bronx,39423,4780,12.1,23.2,54.9,13.9,26.1,2.9,2.2,Bronxdale,8.31,
BX08,Bronx,36014,4063,11.3,21.3,65.8,2.7,26.6,2.8,2.1,West Farms-Bronx River,9.1,
BX09,Bronx,54925,8065,14.7,19.9,60.4,2.7,34.1,1.3,1.5,Soundview-Castle Hill-Clason Point-Harding Park,6.55,
BX10,Bronx,26877,5375,20.0,12.2,41.4,49.4,4.3,3.7,1.1,Pelham Bay-Country Club-City Island,4.27,
BX13,Bronx,47400,11354,24.0,15.2,28.3,6.6,59.2,2.3,3.6,Co-op City,5.36,
BX14,Bronx,64850,7727,11.9,30.8,63.3,1.6,31.2,1.4,2.6,East Concourse-Concourse Village,8.57,
BX17,Bronx,44057,5195,11.8,37.0,68.8,1.4,28.3,0.7,0.9,East Tremont,3.56,
BX22,Bronx,27551,7066,25.6,9.8,21.6,61.8,8.9,5.1,2.6,North Riverdale-FIeldston-Riverdale,5.11,
BX26,Bronx,39140,3309,8.5,40.6,64.3,2.5,32.1,0.5,0.7,Highbridge,20.5,
BX27,Bronx,26196,2551,9.7,45.1,70.7,1.7,26.5,0.4,0.7,Hunts Point,8.77,
BX28,Bronx,50935,6333,12.4,23.6,69.7,8.0,16.1,3.7,2.6,Van Cortlandt Village,13.84,
BX29,Bronx,31295,7431,23.7,9.0,38.7,45.7,8.2,4.9,2.5,Spuyten Duyvil-Kingsbridge,5.22,
BX30,Bronx,32163,3888,12.1,34.9,75.7,3.5,15.6,2.3,2.9,Kingsbridge Heights,10.81,3.0
BX31,Bronx,31993,6274,19.6,11.7,36.3,21.0,31.0,9.8,1.8,Allerton-Pelham Gardens,4.57,
BX33,Bronx,27864,2536,9.1,42.8,69.9,1.7,25.7,1.5,1.1,Longwood,10.56,
BX34,Bronx,42882,4062,9.5,40.1,65.6,1.7,30.4,0.6,1.7,Melrose South-Mott Haven North,7.74,
BX35,Bronx,40925,3621,8.8,31.8,58.3,1.2,38.2,1.0,1.4,Morrisania-Melrose,7.29,
BX36,Bronx,56293,4749,8.4,45.3,68.9,1.1,27.8,1.5,0.6,University Heights-Morris Heights,9.76,
BX37,Bronx,29004,3344,11.5,14.2,51.5,24.3,11.8,10.0,2.5,Van Nest-Morris Park-Westchester Square,6.5,
BX39,Bronx,54163,4708,8.7,46.6,68.8,1.9,28.0,0.4,0.9,Mott Haven-Port Morris,6.7,
BX40,Bronx,28164,1853,6.6,43.8,71.6,0.7,25.3,0.4,1.9,Fordham South,13.6,
BX41,Bronx,53198,4661,8.8,36.6,69.0,1.3,26.4,1.4,1.8,Mount Hope,7.58,
BX43,Bronx,42227,3855,9.1,29.9,63.5,9.7,13.5,10.7,2.5,Norwood,10.97,
BX44,Bronx,66606,8250,12.4,16.9,26.4,2.4,68.3,1.3,1.6,Williamsbridge-Olinville,6.14,
BX46,Bronx,30372,3562,11.7,15.7,38.2,2.0,40.3,16.2,3.3,Parkchester,10.84,
BX49,Bronx,28913,4211,14.6,13.1,43.4,30.7,13.9,10.0,1.9,Pelham Parkway,6.25,
BX52,Bronx,46810,7374,15.8,14.2,49.2,36.3,9.6,3.4,1.5,Schuylerville-Throgs Neck-Edgewater Park,5.55,
BX55,Bronx,37130,4105,11.1,25.8,63.9,3.0,21.5,8.7,2.9,Soundview-Bruckner,7.75,
BX59,Bronx,28302,3492,12.3,18.2,59.9,4.3,17.7,13.8,4.4,Westchester-Unionport,6.82,
BX62,Bronx,43858,6387,14.6,9.6,17.8,15.1,58.5,5.1,3.5,Woodlawn-Wakefield,6.79,
BX63,Bronx,38081,3010,7.9,38.2,71.2,2.0,22.1,2.1,2.5,West Concourse,13.06,
BX75,Bronx,22103,2353,10.6,36.8,67.6,0.8,29.6,1.6,0.5,Crotona Park East,10.72,
Island,BX98,401,7080,51.0,0.7,32.9,7.6,56.3,1.8,1.5,,,
BX99,Bronx,831,54,6.5,18.5,35.6,10.6,39.0,0.4,14.4,,,
BK09,Brooklyn,24168,3512,14.5,10.6,7.3,72.6,5.8,9.3,5.1,Brooklyn Heights-Cobble Hill,0.97,117.0
BK17,Brooklyn,65631,13375,20.4,18.7,9.2,62.4,6.5,19.8,2.2,Sheepshead Bay-Gerritsen Beach-Manhattan Beach,1.88,22.0
BK19,Brooklyn,34431,8875,25.8,40.7,10.7,71.2,0.7,13.8,3.6,Brighton Beach,0.5,10.0
BK21,Brooklyn,32259,6409,19.9,42.8,27.9,31.7,29.2,8.7,2.4,Seagate-Coney Island,5.46,13.0
BK23,Brooklyn,16774,6309,37.6,21.8,3.9,92.6,1.7,0.8,1.0,West Brighton,2.22,10.0
BK25,Brooklyn,45007,6943,15.4,23.5,11.8,72.8,1.9,9.8,3.7,Homecrest,0.0,8.0
BK26,Brooklyn,30587,5645,18.5,22.1,20.9,44.2,7.5,23.3,4.1,Gravesend,2.99,11.0
BK27,Brooklyn,33020,5154,15.6,18.7,18.1,41.2,1.1,37.1,2.5,Bath Beach,0.8,2.0
BK28,Brooklyn,90847,13801,15.2,20.7,16.8,38.6,0.9,41.9,1.8,Bensonhurst West,1.17,4.0
BK29,Brooklyn,65502,10548,16.1,26.0,13.5,42.1,1.0,41.0,2.4,Bensonhurst East,0.27,1.0
BK30,Brooklyn,43888,7429,16.9,16.6,13.7,43.7,0.9,40.4,1.3,Dyker Heights,0.98,2.0
BK31,Brooklyn,79187,12958,16.4,14.1,18.2,60.7,2.8,15.5,2.8,Bay Ridge,2.32,22.0
BK32,Brooklyn,54667,5386,9.9,26.3,61.5,17.9,3.3,15.5,1.7,Sunset Park West,1.82,57.0
BK33,Brooklyn,43766,4815,11.0,23.8,17.3,59.3,11.9,5.9,5.7,Carroll Gardens-Columbia Street-Red Hook,1.78,43.0
BK34,Brooklyn,66348,6471,9.8,32.3,30.9,14.6,1.4,51.6,1.5,Sunset Park East,1.63,
BK35,Brooklyn,69260,8260,11.9,20.9,17.2,12.7,64.0,3.3,2.8,Stuyvesant Heights,4.43,2.0
BK37,Brooklyn,74731,7528,10.1,9.5,15.8,66.9,4.5,7.6,5.2,Park Slope-Gowanus,0.7,25.0
HBK38,Brooklyn,45607,3994,8.8,23.3,19.1,44.5,20.3,11.8,4.4,,,
BK40,Brooklyn,22832,2965,13.0,15.6,13.8,68.7,3.9,10.1,3.5,Windsor Terrace,0.83,4.0
BK41,Brooklyn,35510,4661,13.1,21.9,16.8,47.8,5.7,24.3,5.3,Kensington-Ocean Parkway,0.67,3.0
BK42,Brooklyn,106883,12346,11.6,23.1,18.7,24.0,44.0,10.1,3.2,Flatbush,1.44,19.0
BK43,Brooklyn,54637,8741,16.0,24.5,7.6,73.6,4.6,11.8,2.4,Midwood,1.39,10.0
BK44,Brooklyn,40958,7386,18.0,19.1,8.9,62.7,2.7,22.5,3.3,Madison,0.36,6.0
BK45,Brooklyn,47726,8376,17.6,6.2,10.2,66.2,12.9,9.0,1.7,Georgetown-Marine Park-Bergen Beach-Mill Basin,1.07,16.0
BK46,Brooklyn,20684,3282,15.9,16.9,8.0,83.5,1.2,4.1,3.1,Ocean Parkway South,0.0,1.0
BK50,Brooklyn,88522,11725,13.2,11.7,7.1,4.7,83.7,2.9,1.6,Canarsie,1.43,3.0
BK58,Brooklyn,72186,10917,15.1,7.1,9.4,16.0,67.7,4.9,2.1,Flatlands,2.4,1.0
