NTA name,NTA code,Boro name,Total pop,65+ pop,65+ %pop,65+ poverty %pop,% Hispanic,% White,%Black,% Asian,% Other
Claremont-Bathgate,BX01,Bronx,35560,2692,7.6,42.1,60.6,1,37.3,0.1,1.0
Eastchester-Edenwald-Baychester,BX03,Bronx,37887,4939,13,11.7,24.6,3.1,66,4.2,2.2
Bedford Park-Fordham North,BX05,Bronx,57685,4993,8.7,30,75,4.2,15.6,3.8,1.5
Belmont,BX06,Bronx,29115,2197,7.5,28.9,61,18.2,16.3,2.1,2.4
Bronxdale,BX07,Bronx,39423,4780,12.1,23.2,54.9,13.9,26.1,2.9,2.2
West Farms-Bronx River,BX08,Bronx,36014,4063,11.3,21.3,65.8,2.7,26.6,2.8,2.1
Soundview-Castle Hill-Clason Point-Harding Park,BX09,Bronx,54925,8065,14.7,19.9,60.4,2.7,34.1,1.3,1.5
Pelham Bay-Country Club-City Island,BX10,Bronx,26877,5375,20,12.2,41.4,49.4,4.3,3.7,1.1
Co-op City,BX13,Bronx,47400,11354,24,15.2,28.3,6.6,59.2,2.3,3.6
East Concourse-Concourse Village,BX14,Bronx,64850,7727,11.9,30.8,63.3,1.6,31.2,1.4,2.6
East Tremont,BX17,Bronx,44057,5195,11.8,37,68.8,1.4,28.3,0.7,0.9
North Riverdale-Fieldston-Riverdale,BX22,Bronx,27551,7066,25.6,9.8,21.6,61.8,8.9,5.1,2.6
Highbridge,BX26,Bronx,39140,3309,8.5,40.6,64.3,2.5,32.1,0.5,0.7
Hunts Point,BX27,Bronx,26196,2551,9.7,45.1,70.7,1.7,26.5,0.4,0.7
Van Cortlandt Village,BX28,Bronx,50935,6333,12.4,23.6,69.7,8,16.1,3.7,2.6
Spuyten Duyvil-Kingsbridge,BX29,Bronx,31295,7431,23.7,9,38.7,45.7,8.2,4.9,2.5
Kingsbridge Heights,BX30,Bronx,32163,3888,12.1,34.9,75.7,3.5,15.6,2.3,2.9
Allerton-Pelham Gardens,BX31,Bronx,31993,6274,19.6,11.7,36.3,21,31,9.8,1.8
Longwood,BX33,Bronx,27864,2536,9.1,42.8,69.9,1.7,25.7,1.5,1.1
Melrose South-Mott Haven North,BX34,Bronx,42882,4062,9.5,40.1,65.6,1.7,30.4,0.6,1.7
Morrisania-Melrose,BX35,Bronx,40925,3621,8.8,31.8,58.3,1.2,38.2,1,1.4
University Heights-Morris Heights,BX36,Bronx,56293,4749,8.4,45.3,68.9,1.1,27.8,1.5,0.6
Van Nest-Morris Park-Westchester Square,BX37,Bronx,29004,3344,11.5,14.2,51.5,24.3,11.8,10,2.5
Mott Haven-Port Morris,BX39,Bronx,54163,4708,8.7,46.6,68.8,1.9,28,0.4,0.9
Fordham South,BX40,Bronx,28164,1853,6.6,43.8,71.6,0.7,25.3,0.4,1.9
Mount Hope,BX41,Bronx,53198,4661,8.8,36.6,69,1.3,26.4,1.4,1.8
Norwood,BX43,Bronx,42227,3855,9.1,29.9,63.5,9.7,13.5,10.7,2.5
Williamsbridge-Olinville,BX44,Bronx,66606,8250,12.4,16.9,26.4,2.4,68.3,1.3,1.6
Parkchester,BX46,Bronx,30372,3562,11.7,15.7,38.2,2,40.3,16.2,3.3
Pelham Parkway,BX49,Bronx,28913,4211,14.6,13.1,43.4,30.7,13.9,10,1.9
Schuylerville-Throgs Neck-Edgewater Park,BX52,Bronx,46810,7374,15.8,14.2,49.2,36.3,9.6,3.4,1.5
Soundview-Bruckner,BX55,Bronx,37130,4105,11.1,25.8,63.9,3,21.5,8.7,2.9
Westchester-Unionport,BX59,Bronx,28302,3492,12.3,18.2,59.9,4.3,17.7,13.8,4.4
Woodlawn-Wakefield,BX62,Bronx,43858,6387,14.6,9.6,17.8,15.1,58.5,5.1,3.5
West Concourse,BX63,Bronx,38081,3010,7.9,38.2,71.2,2,22.1,2.1,2.5
Crotona Park East,BX75,Bronx,22103,2353,10.6,36.8,67.6,0.8,29.6,1.6,0.5
Rikers,Island,BX98,401,7080,51,0.7,32.9,7.6,56.3,1.8,1.5
park-cemetery-etc-Bronx,BX99,Bronx,831,54,6.5,18.5,35.6,10.6,39,0.4,14.4
