count,disease,ethnicity,gender,il,race,stateorcounty,year,yeartext
1,Legionellosis,NotHispNotLatino,Male,IL,Asian,S,2005,Year
1,Legionellosis,NotHispNotLatino,Female,IL,BlackAfricanAmer,S,2005,Year
2,Legionellosis,NotHispNotLatino,Female,IL,BlackAfricanAmer,S,2005,Year
2,Legionellosis,NotHispNotLatino,Female,IL,BlackAfricanAmer,S,2005,Year
1,Legionellosis,NotHispNotLatino,Male,IL,BlackAfricanAmer,S,2005,Year
1,Legionellosis,NotHispNotLatino,Male,IL,BlackAfricanAmer,S,2005,Year
2,Legionellosis,NotHispNotLatino,Male,IL,BlackAfricanAmer,S,2005,Year
1,Legionellosis,UnkwnNotClassified,Female,IL,BlackAfricanAmer,S,2005,Year
1,Legionellosis,UnkwnNotClassified,Male,IL,BlackAfricanAmer,S,2005,Year
1,Legionellosis,UnkwnNotClassified,Male,IL,BlackAfricanAmer,S,2005,Year
1,Legionellosis,Hispanic or Latino,Male,IL,Other,S,2005,Year
1,Legionellosis,Hispanic or Latino,Male,IL,Unknown,S,2005,Year
1,Legionellosis,UnkwnNotClassified,Male,IL,Unknown,S,2005,Year
1,Legionellosis,Hispanic or Latino,Male,IL,White,S,2005,Year
1,Legionellosis,Hispanic or Latino,Male,IL,White,S,2005,Year
1,Legionellosis,Hispanic or Latino,Male,IL,White,S,2005,Year
2,Legionellosis,NotHispNotLatino,Female,IL,White,S,2005,Year
3,Legionellosis,NotHispNotLatino,Female,IL,White,S,2005,Year
10,Legionellosis,NotHispNotLatino,Female,IL,White,S,2005,Year
1,Legionellosis,NotHispNotLatino,Male,IL,White,S,2005,Year
1,Legionellosis,NotHispNotLatino,Male,IL,White,S,2005,Year
2,Legionellosis,NotHispNotLatino,Male,IL,White,S,2005,Year
3,Legionellosis,NotHispNotLatino,Male,IL,White,S,2005,Year
3,Legionellosis,NotHispNotLatino,Male,IL,White,S,2005,Year
2,Legionellosis,NotHispNotLatino,Male,IL,White,S,2005,Year
11,Legionellosis,NotHispNotLatino,Male,IL,White,S,2005,Year
1,Legionellosis,UnkwnNotClassified,Female,IL,White,S,2005,Year
2,Legionellosis,UnkwnNotClassified,Female,IL,White,S,2005,Year
1,Legionellosis,UnkwnNotClassified,Male,IL,White,S,2005,Year
1,Legionellosis,UnkwnNotClassified,Male,IL,White,S,2005,Year
2,Legionellosis,UnkwnNotClassified,Male,IL,White,S,2005,Year
2,Legionellosis,UnkwnNotClassified,Male,IL,White,S,2005,Year
2,Legionellosis,NotHispNotLatino,Female,IL,BlackAfricanAmer,S,2006,Year
1,Legionellosis,NotHispNotLatino,Female,IL,BlackAfricanAmer,S,2006,Year
3,Legionellosis,NotHispNotLatino,Female,IL,BlackAfricanAmer,S,2006,Year
1,Legionellosis,NotHispNotLatino,Male,IL,BlackAfricanAmer,S,2006,Year
1,Legionellosis,NotHispNotLatino,Male,IL,BlackAfricanAmer,S,2006,Year
2,Legionellosis,NotHispNotLatino,Male,IL,BlackAfricanAmer,S,2006,Year
1,Legionellosis,NotHispNotLatino,Male,IL,BlackAfricanAmer,S,2006,Year
1,Legionellosis,NotHispNotLatino,Male,IL,BlackAfricanAmer,S,2006,Year
4,Legionellosis,NotHispNotLatino,Male,IL,BlackAfricanAmer,S,2006,Year
2,Legionellosis,NotHispNotLatino,Male,IL,BlackAfricanAmer,S,2006,Year
4,Legionellosis,NotHispNotLatino,Male,IL,BlackAfricanAmer,S,2006,Year
1,Legionellosis,NotHispNotLatino,Female,IL,Multiple Races,S,2006,Year
1,Legionellosis,Hispanic or Latino,Female,IL,Other,S,2006,Year
1,Legionellosis,Hispanic or Latino,Male,IL,Unknown,S,2006,Year
1,Legionellosis,Hispanic or Latino,Male,IL,Unknown,S,2006,Year
1,Legionellosis,NotHispNotLatino,Female,IL,Unknown,S,2006,Year
1,Legionellosis,NotHispNotLatino,Male,IL,Unknown,S,2006,Year
1,Legionellosis,NotHispNotLatino,Male,IL,Unknown,S,2006,Year
1,Legionellosis,UnkwnNotClassified,Female,IL,Unknown,S,2006,Year
1,Legionellosis,UnkwnNotClassified,Female,IL,Unknown,S,2006,Year
1,Legionellosis,UnkwnNotClassified,Female,IL,Unknown,S,2006,Year
1,Legionellosis,UnkwnNotClassified,Female,IL,Unknown,S,2006,Year
1,Legionellosis,UnkwnNotClassified,Female,IL,Unknown,S,2006,Year
2,Legionellosis,UnkwnNotClassified,Female,IL,Unknown,S,2006,Year
1,Legionellosis,UnkwnNotClassified,Male,IL,Unknown,S,2006,Year
1,Legionellosis,UnkwnNotClassified,Male,IL,Unknown,S,2006,Year
1,Legionellosis,UnkwnNotClassified,Male,IL,Unknown,S,2006,Year
1,Legionellosis,Hispanic or Latino,Female,IL,White,S,2006,Year
1,Legionellosis,NotHispNotLatino,Female,IL,White,S,2006,Year
1,Legionellosis,NotHispNotLatino,Female,IL,White,S,2006,Year
2,Legionellosis,NotHispNotLatino,Female,IL,White,S,2006,Year
1,Legionellosis,NotHispNotLatino,Female,IL,White,S,2006,Year
2,Legionellosis,NotHispNotLatino,Female,IL,White,S,2006,Year
1,Legionellosis,NotHispNotLatino,Female,IL,White,S,2006,Year
4,Legionellosis,NotHispNotLatino,Female,IL,White,S,2006,Year
1,Legionellosis,NotHispNotLatino,Female,IL,White,S,2006,Year
17,Legionellosis,NotHispNotLatino,Female,IL,White,S,2006,Year
1,Legionellosis,NotHispNotLatino,Male,IL,White,S,2006,Year
