id,selected,inside_boundary,meets threshold,latitude (deg),longitude (deg),distance from center (m),address,confidence
0,true,false,true,40.68288077,-74.01225912,3691.5,"118 Conover St, Brooklyn, NY 11231, USA",0.45
1,true,true,true,40.68507564,-74.02165901,3971.6,"691 Half Moon Rd, New York, NY 10004, USA",0.58
2,true,true,true,40.68658197,-74.02165455,3849.5,"662 Governors Is, New York, NY 10004, USA",0.39
3,false,false,true,40.68885791,-74.00214284,2710.6,"70 Columbia Street Greenway, Brooklyn, NY 11201, United States",0.53
4,true,true,true,40.69126401,-74.00253534,2479.6,"70 Columbia Street Greenway, Brooklyn, NY 11201-5572, United States",0.42
5,true,true,true,40.69128313,-74.00259842,2480.0,"70 Columbia Street Greenway, Brooklyn, NY 11201-5572, United States",0.56
6,true,true,true,40.69126971,-74.00255164,2479.6,"70 Columbia Street Greenway, Brooklyn, NY 11201-5572, United States",0.57
7,true,true,true,40.69127484,-74.00257163,2479.8,"70 Columbia Street Greenway, Brooklyn, NY 11201-5572, United States",0.58
8,true,true,true,40.69128651,-74.00261408,2480.2,"70 Columbia Street Greenway, Brooklyn, NY 11201-5572, United States",0.77
9,true,false,true,40.69297293,-74.00086304,2247.4,"12 Bridge Park Dr, Brooklyn, NY 11201-4027, United States",0.82
10,true,false,true,40.69296016,-74.00081964,2247.2,"50 Bridge Park Dr, Brooklyn, NY 11201-4027, United States",0.84
11,false,true,true,40.69716566,-74.00130831,1852.4,"300 Furman St, New York, NY 11201, United States",0.27
12,true,false,true,40.69755024,-73.99750622,1666.9,"I-278 W, Brooklyn, NY 11201, United States",0.32
13,false,true,true,40.70086983,-74.01465514,2398.8,"1 South St, New York, NY 10004, USA",0.28
14,true,false,true,40.70041795,-74.04026365,4427.8,"14B Ellis Island, Jersey City, NJ 07304, United States",0.76
15,true,false,true,40.70044010,-74.04030125,4430.2,"14B Ellis Island, Jersey City, NJ 07304, United States",0.78
16,true,false,true,40.70039465,-74.04023570,4426.2,"14B Ellis Island, Jersey City, NJ 07304, United States",0.82
17,true,true,true,40.70076286,-74.01302662,2285.8,"26 Ferry Terminal, New York, NY 10004, United States",0.84
18,true,true,true,40.70076767,-74.01298319,2282.3,"26 Ferry Terminal, New York, NY 10004, United States",0.84
19,true,true,true,40.70171846,-74.01215557,2168.6,"5 South St, New York, NY 10004, United States",0.82
20,true,true,true,40.70169486,-74.01230576,2180.9,"85 Whitehall St, New York, NY 10004, USA",0.83
21,true,true,true,40.70168491,-74.01235450,2185.0,"5 South St, New York, NY 10004, United States",0.84
22,true,true,true,40.70170900,-74.01220397,2172.7,"13 S St Viaduct, New York, NY 10004, USA",0.84
23,true,true,true,40.70172714,-74.01210425,2164.4,"13 South St, New York, NY 10004, United States",0.84
24,true,true,true,40.70170140,-74.01225469,2176.8,"5 South St, New York, NY 10004, United States",0.85
25,true,true,true,40.70284350,-74.01337098,2201.7,"34-50 Whitehall St, New York, NY 10004, USA",0.60
26,true,true,true,40.70321919,-74.01178572,2063.0,"102 Broad St, New York, NY 10004, USA",0.48
27,true,true,true,40.70284214,-74.01339123,2203.3,"34-50 Whitehall St, New York, NY 10004, USA",0.75
28,true,true,true,40.70259003,-74.01025405,1981.1,"24 South St, New York, NY 10004, USA",0.84
29,true,true,true,40.70284024,-74.01342787,2206.2,"34-50 Whitehall St, New York, NY 10004, USA",0.75
30,true,true,true,40.70259326,-74.01025358,1980.9,"24 South St, New York, NY 10004, USA",0.85
31,true,true,true,40.70262702,-74.01026300,1979.8,"24 South St, New York, NY 10004, USA",0.84
32,true,true,true,40.70265874,-74.01027317,1978.8,"24 South St, New York, NY 10004, USA",0.83
33,true,true,true,40.70284109,-74.01339388,2203.5,"34-50 Whitehall St, New York, NY 10004, USA",0.78
34,true,true,true,40.70269248,-74.01028261,1977.7,"23 Water St, Brooklyn, NY 11201, USA",0.84
35,true,true,true,40.70284104,-74.01343745,2206.9,"34-50 Whitehall St, New York, NY 10004, USA",0.80
36,true,true,true,40.70284350,-74.01330715,2196.8,"34-50 Whitehall St, New York, NY 10004, USA",0.80
37,true,true,true,40.70283975,-74.01348153,2210.3,"34-50 Whitehall St, New York, NY 10004, USA",0.81
38,true,true,true,40.70284247,-74.01335062,2200.2,"34-50 Whitehall St, New York, NY 10004, USA",0.81
39,true,true,true,40.70305688,-74.01264846,2136.4,"28 Pearl St, New York, NY 10004, USA",0.82
40,true,true,true,40.70309551,-74.01266834,2136.1,"28 Pearl St, New York, NY 10004, USA",0.83
41,true,true,true,40.70379520,-74.00893916,1819.6,"55 Old Slip, New York, NY 10004, USA",0.61
42,true,true,true,40.70321804,-74.01180228,2064.3,"102 Broad St, New York, NY 10004, USA",0.84
43,true,true,true,40.70352593,-74.01280254,2126.3,"27 Whitehall St, New York, NY 10004, USA",0.77
44,true,true,true,40.70356009,-74.01355124,2182.5,"1 Battery Bikeway, New York, NY 10004, USA",0.79
45,true,true,true,40.70356073,-74.01358821,2185.4,"1 Battery Bikeway, New York, NY 10004, USA",0.79
46,true,true,true,40.70350775,-74.01287988,2133.0,"27 Whitehall St, New York, NY 10004, USA",0.81
