id,selected,inside_boundary,meets threshold,latitude (deg),longitude (deg),distance from center (m),address,confidence
0,true,true,true,40.78703085,-73.88053976,22779.4,"10-01 Husson Ave, Bronx, NY 10474, United States",0.50
1,true,true,true,40.78704577,-73.88051650,22777.0,"10-01 Husson Ave, Bronx, NY 10474, United States",0.62
2,false,true,true,40.78838296,-73.88185124,22840.6,"1111 Hazen St, Flushing, NY 11370, USA",0.25
3,false,true,true,40.79505735,-73.88877629,23199.2,"1500 Hazen St, Bronx, NY 10474, United States",0.25
4,true,true,true,40.79691548,-73.88780635,23068.1,"10-01 Husson Ave, Bronx, NY 10474, United States",0.59
5,true,true,true,40.79691611,-73.88776054,23064.3,"17 - 17 Hazen St, East Elmhurst, NY 11370, USA",0.65
6,true,true,true,40.79691544,-73.88771583,23060.7,"17 - 17 Hazen St, East Elmhurst, NY 11370, USA",0.67
7,true,true,true,40.79783675,-73.91296123,25104.4,"900 E 132nd St, Bronx, NY 10454, USA",0.41
8,true,true,true,40.79690932,-73.88780502,23068.2,"10-01 Husson Ave, Bronx, NY 10474, United States",0.78
9,true,true,true,40.79690860,-73.88776154,23064.6,"17 - 17 Hazen St, East Elmhurst, NY 11370, USA",0.81
10,true,true,true,40.79690876,-73.88771586,23060.9,"17 - 17 Hazen St, East Elmhurst, NY 11370, USA",0.84
11,false,true,true,40.79907023,-73.90899901,24748.3,"951 E 132nd St, Bronx, NY 10454, USA",0.28
12,true,true,true,40.79865756,-73.90933943,24786.5,"951 E 132nd St, Bronx, NY 10454, USA",0.49
13,true,true,true,40.79868628,-73.90931004,24783.3,"951 E 132nd St, Bronx, NY 10454, USA",0.52
14,true,true,true,40.79782190,-73.91298386,25106.6,"900 E 132nd St, Bronx, NY 10454, USA",0.88
15,true,true,true,40.79785721,-73.91293666,25101.9,"900 E 132nd St, Bronx, NY 10454, USA",0.88
16,true,true,true,40.79788880,-73.91289051,25097.3,"900 E 132nd St, Bronx, NY 10454, USA",0.87
17,true,true,true,40.79904241,-73.90903379,24751.9,"951 E 132nd St, Bronx, NY 10454, USA",0.72
18,true,true,true,40.79901713,-73.91591928,25318.7,"670 E 132nd St, Bronx, NY 10454, United States",0.81
19,true,true,true,40.79898359,-73.91594514,25321.6,"670 E 132nd St, Bronx, NY 10454, United States",0.83
20,true,true,true,40.79939366,-73.91570165,25291.7,"770 E 132nd St, Bronx, NY 10454, United States",0.82
21,true,true,true,40.79942687,-73.91567900,25289.0,"770 E 132nd St, Bronx, NY 10454, United States",0.83
